iter	Passed	Remaining
304	1217	2774
305	1221	2769
306	1225	2765
307	1229	2761
308	1233	2757
309	1237	2753
310	1240	2749
311	1244	2744
312	1248	2741
313	1252	2737
314	1256	2733
315	1260	2728
316	1264	2724
317	1268	2720
318	1272	2716
319	1276	2712
320	1280	2708
321	1284	2704
322	1288	2699
323	1291	2695
324	1295	2691
325	1299	2687
326	1303	2683
327	1307	2679
328	1311	2675
329	1315	2671
330	1319	2667
331	1323	2663
332	1327	2659
333	1331	2655
334	1335	2651
335	1339	2647
336	1343	2643
337	1347	2639
338	1352	2636
339	1356	2632
340	1360	2628
341	1364	2624
342	1368	2620
343	1372	2616
344	1376	2612
345	1380	2609
346	1384	2605
347	1388	2601
348	1392	2597
349	1396	2593
350	1400	2590
351	1404	2585
352	1408	2581
353	1412	2577
354	1416	2573
355	1420	2569
356	1424	2565
357	1428	2561
358	1432	2558
359	1436	2554
360	1440	2550
361	1444	2546
362	1449	2542
363	1452	2538
364	1456	2534
365	1461	2530
366	1464	2526
367	1468	2522
368	1472	2518
369	1476	2514
370	1480	2510
371	1484	2506
372	1504	2529
373	1509	2525
374	1513	2521
375	1517	2517
376	1521	2513
377	1524	2509
378	1529	2505
379	1533	2501
380	1536	2496
381	1540	2492
382	1544	2488
383	1548	2484
384	1552	2480
385	1556	2476
386	1560	2472
387	1564	2468
388	1568	2463
389	1572	2459
390	1576	2455
391	1580	2451
392	1584	2447
393	1588	2442
394	1592	2438
395	1596	2434
396	1599	2430
397	1603	2425
398	1607	2421
399	1611	2417
400	1615	2413
401	1619	2409
402	1623	2405
403	1628	2401
404	1632	2397
405	1636	2393
406	1639	2389
407	1644	2385
408	1647	2381
409	1651	2377
410	1655	2372
411	1659	2369
412	1663	2364
413	1667	2360
414	1671	2356
415	1675	2352
416	1679	2348
417	1683	2344
418	1687	2339
419	1691	2336
420	1695	2331
421	1699	2327
422	1703	2323
423	1707	2320
424	1711	2316
425	1715	2312
426	1720	2308
427	1724	2304
428	1727	2299
